date,pm25,pm10,o3,no2,so2,co
2017/7/19,71,52,48,25,3,9
2017/7/20,78,45,42,28,3,12
2017/7/21,77,58,48,29,4,11
2017/7/22,92,49,41,27,8,10
2017/7/23,92,55,31,33,4,14
2017/7/24,95,53,42,36,3,14
2017/7/25,103,54,38,23,3,8
2017/7/26,65,59,41,26,21,9
2017/7/27,93,,50,26,7,10
2017/8/1,50,,40,20,3,8
2017/8/4,81,56,61,27,3,10
2017/8/5,89,42,59,18,5,8
2017/8/6,65,54,46,23,23,9
2017/8/7,84,49,44,19,5,7
2017/8/8,63,33,26,12,4,5
2017/8/9,53,24,17,14,7,8
2017/8/10,43,57,42,24,4,15
2017/8/11,79,44,40,20,4,8
2017/8/12,58,37,59,17,2,8
2017/8/13,57,48,40,24,2,9
2017/8/14,67,69,45,28,13,13
2017/8/15,106,48,33,22,4,10
2017/8/16,71,45,35,18,3,8
2017/8/17,53,45,27,22,14,8
2017/8/18,81,44,38,21,4,8
2017/8/19,68,30,37,11,2,5
2017/8/20,49,28,30,14,2,6
2017/8/21,48,,34,13,2,6
2017/9/12,90,78,46,39,6,14
2017/9/13,101,60,62,30,3,10
2017/9/14,88,66,51,30,8,11
2017/9/15,93,64,82,27,11,9
2017/9/16,118,38,42,14,4,6
2017/9/17,71,,,,,
2017/9/19,57,44,31,21,24,8
2017/9/20,70,43,51,23,4,10
2017/9/21,74,38,36,21,5,9
2017/9/22,59,36,33,17,4,8
2017/9/23,52,22,29,16,3,7
2017/9/24,37,37,29,24,10,10
2017/9/25,76,50,44,30,7,12
2017/9/26,94,40,33,23,7,9
2017/9/27,72,29,19,16,3,7
2017/9/28,33,21,20,17,2,7
2017/9/29,28,16,20,12,2,6
2017/9/30,32,13,25,11,2,6
2017/4/1,86,,,,,
2017/4/4,76,98,59,42,10,21
2017/4/5,133,66,80,29,3,11
2017/4/6,99,68,62,41,5,15
2017/4/7,105,65,60,35,6,11
2017/4/8,100,62,75,33,4,12
2017/4/9,105,65,66,31,5,12
2017/4/10,103,72,50,31,10,11
2017/4/11,96,37,44,20,1,7
2017/4/12,55,48,48,22,4,8
2017/4/13,66,41,57,17,3,7
2017/4/14,64,42,56,17,4,7
2017/4/15,60,42,52,18,11,7
2017/4/16,67,44,52,31,5,11
2017/4/17,75,43,57,28,2,8
