date,pm25,pm10,o3,no2,so2,co
2018/9/25,72,36,37,27,3,9
2018/9/26,67,34,46,25,3,9
2018/9/27,68,33,32,24,2,7
2018/9/28,60,35,34,26,5,8
2018/9/29,65,28,45,17,6,6
2018/9/30,57,26,26,19,6,6
2018/4/1,64,47,81,33,6,10
2018/4/2,78,43,70,27,5,4
2018/4/3,75,58,84,31,7,8
2018/4/4,96,47,74,26,4,7
2018/4/5,90,47,54,40,5,11
2018/4/6,98,51,79,33,5,12
2018/4/7,97,42,69,24,8,7
2018/4/8,75,47,64,26,5,7
2018/4/9,83,50,65,31,5,8
2018/4/10,84,33,49,29,5,7
2018/4/11,62,34,8,40,10,10
2018/4/12,74,42,60,33,4,11
2018/4/13,67,31,50,22,4,8
2018/4/14,49,58,63,27,31,7
2018/4/15,100,58,74,35,32,9
2018/4/16,92,53,84,37,9,10
2018/4/17,78,51,65,35,7,9
2018/4/18,67,54,52,39,7,8
2018/4/19,67,45,76,30,5,7
2018/4/20,72,55,78,35,6,9
2018/4/21,91,44,92,28,7,8
2018/4/22,87,37,76,30,6,10
2018/4/23,69,51,48,40,6,13
2018/4/24,92,46,55,40,6,13
2018/4/25,93,65,70,37,18,11
2018/4/26,117,49,94,39,5,13
2018/4/27,87,44,67,30,12,10
2018/4/28,80,46,76,31,11,11
2018/4/29,94,40,46,35,6,12
2018/4/30,73,34,53,22,5,8
2018/5/1,65,38,41,32,8,10
2018/5/2,86,39,44,34,7,11
2018/5/3,64,43,80,36,5,9
2018/5/4,88,22,39,21,2,6
2018/5/5,45,21,29,19,22,6
2018/5/6,43,,35,24,18,6
2018/5/8,82,40,65,30,8,9
2018/5/9,83,42,79,29,5,7
2018/5/10,71,42,93,33,3,9
2018/5/11,81,40,92,27,2,6
2018/5/12,87,37,97,26,3,7
2018/5/13,74,41,70,29,26,7
2018/5/14,65,46,65,30,26,6
2018/5/15,73,40,61,26,5,8
2018/5/16,61,44,51,27,8,7
2018/5/17,65,42,62,35,8,8
2018/5/18,63,58,77,29,4,8
2018/5/19,105,,85,26,3,8
2018/6/8,47,37,43,25,11,8
2018/6/9,69,35,65,22,3,9
2018/6/10,68,38,48,28,4,10
2018/6/11,68,46,27,40,10,12
2018/6/12,94,17,23,28,2,11
2018/6/13,49,26,25,37,4,13
2018/6/14,69,36,38,38,3,13
2018/6/15,85,29,43,22,3,9
2018/6/16,62,12,30,15,2,7
2018/6/17,27,17,13,23,3,10
2018/6/18,40,18,37,21,2,9
2018/6/19,40,25,36,23,2,8
2018/6/20,38,31,27,27,2,10
2018/6/21,52,19,27,20,4,9
2018/6/22,33,,,,,
2018/6/24,54,34,56,32,5,11
2018/6/25,68,35,55,29,3,10
2018/6/26,75,37,56,29,3,10
2018/6/27,68,22,47,29,4,10
2018/6/28,52,42,4,31,10,12
2018/6/29,80,,,,,
2018/1/8,42,48,37,51,17,10
2018/1/9,94,63,55,61,18,14
2018/1/10,115,56,70,55,9,11
2018/1/11,119,43,50,43,11,8
2018/1/12,89,50,35,42,20,8
2018/1/13,88,37,38,31,26,4
2018/1/14,87,44,36,44,26,8
2018/1/15,91,55,43,43,31,10
2018/1/16,113,40,47,37,6,7
2018/1/17,87,48,58,43,23,9
2018/1/18,105,47,52,49,6,10
2018/1/19,105,38,47,40,7,10
2018/1/20,94,33,47,31,9,8
2018/1/21,84,41,52,37,8,10
2018/1/22,88,40,57,36,24,7
2018/1/23,110,31,35,37,10,9
2018/1/24,88,59,21,,5,
2018/1/25,160,31,39,32,8,9
2018/1/26,91,32,47,35,6,9
2018/1/27,95,20,16,19,10,6
2018/1/28,63,8,19,15,,5
2018/1/29,31,24,26,32,12,7
2018/1/30,69,12,18,31,14,9
2018/1/31,43,5,14,37,9,19
2018/2/1,24,,33,24,4,6
2018/2/3,118,33,70,37,,11
2018/2/4,97,23,71,25,,8
2018/2/5,74,38,58,40,6,12
2018/2/6,107,,51,41,9,11
2018/2/9,70,35,32,26,9,8
2018/2/10,68,32,31,21,7,9
2018/2/11,52,47,50,28,10,9
2018/2/12,71,65,51,31,21,9
2018/2/13,103,49,50,26,20,8
2018/2/14,72,51,68,27,16,7
2018/2/15,71,59,71,38,14,11
2018/2/16,84,59,24,34,27,9
2018/2/17,86,57,65,24,24,7
2018/2/18,103,48,61,22,5,9
2018/2/19,71,47,50,23,4,8
2018/2/20,68,59,79,41,10,11
2018/2/21,94,61,30,38,7,10
2018/2/22,98,62,75,37,19,9
2018/2/23,106,65,83,38,8,10
2018/2/24,113,39,69,24,9,7
2018/2/25,75,44,55,25,6,8
2018/2/26,81,62,72,37,10,10
2018/2/27,99,64,103,41,6,12
2018/2/28,102,65,58,36,14,10
2018/3/1,91,64,75,26,5,8
2018/3/2,103,57,52,30,23,8
2018/3/3,78,,,,,
2018/3/7,109,42,1,34,9,8
2018/3/8,65,57,62,35,5,7
2018/3/9,100,55,85,42,5,11
2018/3/10,97,55,84,34,7,8
2018/3/11,91,50,68,28,5,6
2018/3/12,79,55,65,35,11,8
2018/3/13,88,63,71,40,30,9
2018/3/14,105,55,54,41,6,12
2018/3/15,92,61,54,40,8,16
2018/3/16,95,28,53,33,7,11
2018/3/17,39,,64,26,4,6
2018/3/21,102,53,58,34,13,7
2018/3/22,87,50,38,28,13,5
2018/3/23,80,45,32,29,8,5
2018/3/24,56,46,67,29,6,
2018/3/25,81,56,72,31,9,
2018/3/26,90,55,67,29,5,
2018/3/27,89,61,49,25,6,7
2018/3/28,82,49,62,21,3,6
